demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
78,0,0,1,0,0,0,0
78,0,0,1,0,0,0,0
78,0,0,2,0,0,0,0
78,0,0,3,0,0,0,0
78,0,0,3,0,0,0,0
78,0,0,4,0,0,0,0
78,0,0,4,0,0,0,0
78,0,0,4,0,0,0,0
78,0,0,4,0,0,0,0
78,0,0,6,0,0,0,0
78,0,0,6,0,0,0,0
78,0,0,6,0,0,0,0
78,0,0,6,0,0,0,0
78,0,0,6,0,0,0,0
78,0,0,6,0,0,0,0
78,0,0,6,0,0,0,0
78,0,0,6,0,0,0,0
78,0,0,7,0,0,0,0
78,0,0,7,0,0,0,0
78,0,0,7,0,0,0,0
78,0,0,8,0,0,0,0
78,1,0,9,0,0,0,0
78,1,0,9,0,0,0,0
78,1,0,9,0,0,0,0
78,1,0,9,0,0,0,0
78,1,0,9,0,0,0,0
78,1,0,9,0,0,0,0
78,1,0,9,0,0,0,0
78,1,0,11,0,0,0,0
78,1,0,11,0,0,0,0
78,1,0,11,0,0,0,0
78,1,0,11,0,0,0,0
78,1,0,11,0,0,0,0
78,1,0,11,0,0,0,0
78,1,0,11,0,0,0,0
78,1,0,11,0,0,0,0
78,1,0,12,0,0,0,0
78,1,0,13,0,0,0,0
78,1,0,13,0,0,0,0
78,1,0,13,0,0,0,0
78,1,0,13,0,0,0,0
78,1,0,13,0,0,0,0
78,1,0,13,0,0,0,0
78,1,0,13,0,0,0,0
78,1,0,13,0,0,0,0
78,1,0,13,0,0,0,0
78,1,0,15,0,0,0,0
78,1,0,16,0,0,0,0
78,1,0,17,0,0,0,0
78,1,0,18,0,0,0,0
78,1,0,19,0,0,0,0
78,1,0,20,0,0,0,0
78,1,0,20,0,0,0,0
78,1,0,20,0,0,0,0
78,1,0,20,0,0,0,0
78,1,0,20,0,0,0,0
78,2,0,21,0,0,0,0
78,2,0,21,0,0,0,0
78,2,0,21,0,0,0,0
78,2,0,21,0,0,0,0
78,2,0,21,0,0,0,0
78,2,0,21,0,0,0,0
78,2,0,21,0,0,0,0
78,3,0,21,0,0,0,0
78,3,0,21,0,0,0,0
78,3,0,21,0,0,0,0
78,3,0,22,0,0,0,0
78,3,0,22,0,0,0,0
78,3,0,23,0,0,0,0
78,3,0,23,0,0,0,0
78,3,0,23,0,0,0,0
78,3,0,23,0,0,0,0
78,3,0,23,0,0,0,0
78,3,0,23,0,0,0,0
78,3,0,23,0,0,0,0
78,3,0,23,0,0,0,0
78,3,0,23,0,0,0,0
78,3,0,23,0,0,0,0
78,3,0,23,0,0,0,0
78,3,0,23,0,0,0,0
78,3,0,24,0,0,0,0
78,3,0,25,0,0,0,0
78,3,0,25,0,0,0,0
78,3,0,25,0,0,0,0
78,3,0,26,0,0,0,0
78,3,0,26,0,0,0,0
78,3,0,26,0,0,0,0
78,3,0,27,0,0,0,0
78,3,0,27,0,0,0,0
78,3,0,27,0,0,0,0
78,3,0,28,0,0,0,0
78,3,0,28,0,0,0,0
78,3,0,28,0,0,0,0
78,4,0,28,0,0,0,0
78,4,0,28,0,0,0,0
78,4,0,28,0,0,0,0
78,4,0,28,0,0,0,0
78,4,0,28,0,0,0,0
78,4,0,28,0,0,0,0
78,6,0,28,0,0,0,0
78,6,0,29,0,0,0,0
78,6,0,29,0,0,0,0
78,6,0,29,0,0,0,0
78,6,0,29,0,0,0,0
78,6,0,29,0,0,0,0
78,6,0,29,0,0,0,0
78,7,0,29,0,0,0,0
78,7,0,29,0,0,0,0
78,7,0,29,0,0,0,0
78,7,0,29,0,0,0,0
78,7,0,29,0,0,0,0
78,7,0,30,0,0,0,0
78,8,0,31,0,0,0,0
78,8,0,31,0,0,0,0
78,8,1,31,0,0,0,0
78,8,1,31,0,0,0,0
78,9,1,31,0,0,0,0
78,9,1,31,0,0,0,0
78,9,1,31,0,0,0,0
78,9,1,31,0,0,0,0
78,9,1,31,0,0,0,0
78,9,1,31,0,0,0,0
78,11,1,31,0,0,0,0
78,11,1,31,0,0,0,0
78,11,1,31,0,0,0,0
78,11,1,31,0,0,0,0
78,12,1,31,0,0,0,0
78,13,1,31,0,0,0,0
78,13,1,32,0,0,0,0
78,13,1,32,0,0,0,0
78,14,1,32,0,0,0,0
78,14,1,32,0,0,0,0
78,14,1,32,0,0,0,0
78,14,1,32,0,0,0,0
78,14,1,32,0,0,0,0
78,14,1,32,0,0,0,0
78,14,1,32,0,0,0,0
78,14,1,32,0,0,0,0
78,14,1,32,0,0,0,0
78,14,1,32,0,0,0,0
78,14,1,32,0,0,0,0
78,14,1,32,0,0,0,0
78,14,1,32,0,0,0,0
78,14,1,33,0,0,0,0
78,14,1,34,0,0,0,0
78,14,1,34,0,0,0,0
78,14,1,35,0,0,0,0
78,16,2,34,0,0,0,0
78,16,2,34,0,0,0,0
78,17,2,34,0,0,0,0
78,17,2,34,0,0,0,0
78,17,2,35,0,0,0,0
78,17,2,35,0,0,0,0
78,17,2,35,0,0,0,0
78,17,2,35,0,0,0,0
78,17,2,35,0,0,0,0
78,18,2,35,0,0,0,0
78,18,2,35,0,0,0,0
78,18,2,35,0,0,0,0
78,18,2,35,0,0,0,0
78,18,2,35,0,0,0,0
78,18,2,35,0,0,0,0
78,18,2,35,0,0,0,0
78,18,2,36,0,0,0,0
78,18,2,36,0,0,0,0
78,19,2,36,0,0,0,0
78,19,2,36,0,0,0,0
78,19,2,37,0,0,0,0
78,19,2,37,0,0,0,0
78,19,2,38,0,0,0,0
78,19,2,38,0,0,0,0
78,19,2,38,0,0,0,0
78,19,2,39,0,0,0,0
78,19,2,39,0,0,0,0
78,19,2,39,0,0,0,0
78,19,2,39,0,0,0,0
78,19,2,39,0,0,0,0
78,20,2,39,0,0,0,0
78,20,2,39,0,0,0,0
78,20,2,39,0,0,0,0
78,20,2,39,0,0,0,0
78,20,2,40,0,0,0,0
78,20,2,41,0,0,0,0
78,20,2,41,0,0,0,0
78,20,2,41,0,0,0,0
78,20,2,41,0,0,0,0
78,20,2,41,0,0,0,0
78,20,2,41,0,0,0,0
78,20,2,41,0,0,0,0
78,20,2,42,0,0,0,0
78,20,2,42,0,0,0,0
78,20,2,42,0,0,0,0
78,20,2,42,0,0,0,0
78,20,2,42,0,0,0,0
78,20,2,42,0,0,0,0
78,21,2,42,0,0,0,0
78,21,2,42,0,0,0,0
78,21,2,42,0,0,0,0
78,21,2,42,0,0,0,0
78,21,2,42,0,0,0,0
78,21,2,42,0,0,0,0
78,21,2,43,0,0,0,0
78,21,2,43,0,0,0,0
78,21,2,44,0,0,0,0
78,21,2,44,0,0,0,0
78,21,2,44,0,0,0,0
78,21,2,44,0,0,0,0
78,21,2,44,0,0,0,0
78,21,2,44,0,0,0,0
78,21,2,46,0,0,0,0
78,21,2,46,0,0,0,0
78,21,2,46,0,0,0,0
78,22,2,46,0,0,0,0
78,22,2,46,0,0,0,0
78,22,2,48,0,0,0,0
78,22,2,48,0,0,0,0
78,22,2,49,0,0,0,0
78,22,2,49,0,0,0,0
78,23,2,49,0,0,0,0
78,23,2,49,0,0,0,0
78,23,2,49,0,0,0,0
78,23,2,50,0,0,0,0
78,23,2,50,0,0,0,0
78,23,2,50,0,0,0,0
78,24,2,50,0,0,0,0
78,24,2,50,0,0,0,0
78,24,2,51,0,0,0,0
78,24,2,51,0,0,0,0
78,24,2,51,0,0,0,0
78,24,2,51,0,0,0,0
78,24,2,51,0,0,0,0
78,24,2,52,0,0,0,0
78,24,2,52,0,0,0,0
78,24,2,52,0,0,0,0
78,24,2,52,0,0,0,0
78,24,2,52,0,0,0,0
78,24,2,52,0,0,0,0
78,24,2,52,0,0,0,0
78,24,2,52,1,0,0,0
78,24,2,52,1,0,0,0
78,24,2,52,1,0,0,0
demands,rsf,rse,success,time_over,relocation_rsf_rse,relocation_rsf_avail,relocation_rse_release
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0
