i,j,t_start,t_goal,current,mode
3,4,91,95,91,user
7,8,100,111,100,demand
4,3,111,115,111,demand
8,4,112,119,112,user
7,8,112,123,112,demand
4,7,128,135,128,demand
3,4,129,133,129,user
1,3,143,150,143,user
2,1,143,150,143,demand
4,2,144,151,144,demand
5,1,146,149,146,user
0,5,146,153,146,demand
4,1,147,157,147,demand
1,7,151,160,151,demand
1,4,163,173,163,demand
5,3,167,173,167,demand
1,5,169,172,169,demand
8,0,172,175,172,demand
7,3,181,186,181,user
1,7,181,190,181,demand
9,8,182,190,182,demand
8,3,189,191,189,user
1,8,189,195,189,demand
8,3,201,203,201,user
6,8,201,209,201,demand
2,3,203,206,203,user
5,2,203,211,203,demand
5,1,209,212,209,demand
1,9,209,216,209,demand
7,3,214,219,214,user
8,7,214,225,214,demand
5,1,214,217,214,demand
0,6,216,224,216,demand
9,3,221,226,221,demand
3,1,226,233,226,demand
1,5,231,234,231,demand
6,4,29,39,29,demand
2,9,30,37,30,demand
5,0,30,37,30,demand
3,2,31,34,31,user
6,2,31,38,31,demand
9,1,52,59,52,demand
5,7,53,58,53,demand
7,5,54,59,54,demand
4,8,55,62,55,demand
9,7,65,69,65,demand
5,4,67,76,67,demand
2,5,68,76,68,user
6,2,68,75,68,demand
5,6,76,77,69,user
2,3,69,72,69,demand
8,6,70,78,70,demand
1,5,93,96,93,demand
7,5,93,98,93,demand
4,9,97,105,97,demand
0,8,99,102,99,demand
7,6,102,109,102,demand
0,3,108,109,108,demand
5,2,111,119,111,demand
3,7,116,121,116,user
9,3,116,121,116,demand
2,0,120,124,120,user
5,2,120,128,120,demand
3,6,123,129,123,demand
8,5,125,134,125,user
9,1,125,132,125,demand
7,9,126,130,126,user
1,7,133,142,133,user
3,1,133,140,133,demand
5,0,134,141,134,demand
2,5,136,144,136,user
8,2,136,139,136,demand
7,8,150,161,150,demand
6,8,152,160,152,demand
6,7,153,160,153,demand
8,6,155,163,155,demand
5,8,159,168,159,demand
2,6,161,168,161,demand
8,4,163,170,163,demand
9,3,163,168,163,demand
4,2,168,175,168,demand
2,9,172,179,172,user
4,7,174,181,174,demand
0,4,188,193,188,demand
7,5,191,196,191,user
3,7,191,196,191,demand
6,9,192,198,192,demand
4,0,193,198,193,demand
1,5,199,202,199,user
2,1,199,206,199,demand
9,6,202,208,202,demand
6,4,205,215,205,demand
7,6,228,235,228,demand
5,2,228,236,228,demand
1,5,232,235,232,user
6,1,232,235,232,demand
8,7,1,12,1,demand
4,0,3,8,3,demand
3,4,4,8,4,user
8,3,5,7,5,demand
9,8,9,17,9,demand
1,9,10,17,10,demand
5,8,19,28,19,demand
8,9,19,27,19,demand
3,4,23,27,23,demand
4,2,27,34,27,demand
2,8,33,36,33,demand
4,1,41,51,41,demand
3,4,42,46,42,user
0,4,43,48,43,demand
4,1,50,60,50,demand
7,3,52,57,52,user
1,7,52,61,52,demand
5,1,53,56,53,demand
9,8,57,65,57,demand
2,0,58,62,58,demand
0,5,59,66,59,demand
1,9,59,66,59,demand
3,2,61,64,61,user
9,0,61,67,61,demand
8,3,67,69,67,user
0,6,67,75,67,demand
4,8,67,74,67,demand
3,4,68,72,68,user
6,0,68,76,68,demand
2,1,69,76,69,demand
3,2,71,74,71,user
8,3,77,79,77,user
